"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to some extent","2022","5 - 9 years","Female","Kildare County Council","Number","492"
"Population with a disability to some extent","2022","5 - 9 years","Female","Kilkenny County Council","Number","182"
"Population with a disability to some extent","2022","5 - 9 years","Female","Laois County Council","Number","186"
"Population with a disability to some extent","2022","5 - 9 years","Female","Longford County Council","Number","75"
"Population with a disability to some extent","2022","5 - 9 years","Female","Louth County Council","Number","256"
"Population with a disability to some extent","2022","5 - 9 years","Female","Meath County Council","Number","457"
"Population with a disability to some extent","2022","5 - 9 years","Female","Offaly County Council","Number","162"
"Population with a disability to some extent","2022","5 - 9 years","Female","Westmeath County Council","Number","165"
"Population with a disability to some extent","2022","5 - 9 years","Female","Wexford County Council","Number","299"
"Population with a disability to some extent","2022","5 - 9 years","Female","Wicklow County Council","Number","322"
"Population with a disability to some extent","2022","5 - 9 years","Female","Clare County Council","Number","202"
"Population with a disability to some extent","2022","5 - 9 years","Female","Cork City Council","Number","343"
"Population with a disability to some extent","2022","5 - 9 years","Female","Cork County Council","Number","701"
"Population with a disability to some extent","2022","5 - 9 years","Female","Kerry County Council","Number","207"
"Population with a disability to some extent","2022","5 - 9 years","Female","Limerick City & County Council","Number","379"
"Population with a disability to some extent","2022","5 - 9 years","Female","Tipperary County Council","Number","297"
"Population with a disability to some extent","2022","5 - 9 years","Female","Waterford City & County Council","Number","170"
"Population with a disability to some extent","2022","5 - 9 years","Female","Galway City Council","Number","118"
"Population with a disability to some extent","2022","5 - 9 years","Female","Galway County Council","Number","327"
"Population with a disability to some extent","2022","5 - 9 years","Female","Leitrim County Council","Number","60"
"Population with a disability to some extent","2022","5 - 9 years","Female","Mayo  County Council","Number","221"
"Population with a disability to some extent","2022","5 - 9 years","Female","Roscommon County Council","Number","122"
"Population with a disability to some extent","2022","5 - 9 years","Female","Sligo County Council","Number","131"
"Population with a disability to some extent","2022","5 - 9 years","Female","Cavan County Council","Number","153"
"Population with a disability to some extent","2022","5 - 9 years","Female","Donegal County Council","Number","301"
"Population with a disability to some extent","2022","5 - 9 years","Female","Monaghan County Council","Number","88"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","Ireland","Number","34334"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","Carlow County Council","Number","432"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","Dublin City Council","Number","2625"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","Dún Laoghaire Rathdown County Council","Number","1302"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","Fingal County Council","Number","2501"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","South Dublin County Council","Number","2223"
"Population with a disability to some extent","2022","10 - 14 years","Both sexes","Kildare County Council","Number","1976"
